0,Knee,,Foot,,Hip
15.4,45.12311,,92.7841,,6.70216
15.5,11.52799,,43.71231,,23.21298
15.6,14.80566,,15.76636,,42.14305
15.7,5.10945,,26.46905,,36.08459
15.8,36.21732,,49.11005,,21.93405
15.9,84.33052,,20.4206,,6.28207
16,59.08655,,14.91572,,4.88292
16.1,52.31097,,37.81566,,3.34593
16.2,60.25463,,72.2551,,9.64736
16.3,6.28016,,28.91282,,31.92065
16.4,6.09992,,10.08572,,41.8538
16.5,0.17863,,36.02733,,33.49822
16.6,67.89446,,34.80508,,14.43267
16.7,97.85793,,13.70823,,14.71481
16.8,32.93021,,13.73615,,5.16261
16.9,55.11011,,64.38664,,8.24389
17,30.40503,,83.94095,,13.58668
17.1,9.08001,,33.02875,,45.47486
17.2,2.5051,,11.33393,,41.7092
17.3,4.03058,,45.14076,,25.91783
17.4,85.94453,,34.50151,,16.40918
17.5,52.31097,,16.10853,,9.36652
17.6,26.49518,,18.56397,,5.30248
17.7,74.92071,,65.07511,,8.80507
17.8,21.13201,,76.55708,,25.91783
17.9,24.36342,,32.66348,,45.32979
18,11.8914,,15.9088,,37.09203
18.1,29.09929,,50.95046,,20.08934
18.2,106.22172,,32.36547,,3.34593
18.3,51.92576,,21.19615,,1.8111
18.4,41.79383,,27.09871,,1.25352
18.5,55.40031,,95.92835,,5.16261
18.6,8.7181,,81.582,,23.21298
18.7,12.89178,,29.87942,,49.83578
18.8,6.09992,,17.28592,,43.88014
18.9,64.75021,,50.10354,,26.06037
19,115.62847,,24.07743,,11.3339
19.1,54.33682,,13.37369,,8.24389
19.2,53.56438,,28.11356,,5.02275
19.3,34.90061,,97.60785,,7.54284
19.4,23.62347,,66.50655,,24.77813
19.5,20.76367,,27.47821,,44.89469
19.6,15.44481,,26.56327,,40.26426
19.7,88.57504,,44.99348,,24.77813
19.8,77.41129,,18.35963,,4.60331
19.9,48.94747,,14.69003,,8.66475
20,99.19381,,41.19014,,3.34593
20.1,23.43861,,75.10793,,10.77143
20.2,27.33115,,31.37768,,33.06775
20.3,23.06903,,13.34586,,44.60473
20.4,41.41435,,41.36854,,36.37234
20.5,132.11604,,38.72013,,18.81404
20.6,68.09143,,16.62384,,4.46352
20.7,51.63698,,14.18396,,9.36652
20.8,98.37144,,54.35715,,5.02275
20.9,32.18105,,70.85095,,10.20925
21,13.43806,,28.65644,,33.35471
21.1,15.26214,,11.52519,,49.10777
21.2,5.01948,,40.79858,,39.10967
21.3,96.11471,,24.75553,,15.70288
21.4,73.03365,,6.68963,,6.00209
21.5,28.35426,,6.01332,,6.98231
21.6,89.8939,,69.37217,,5.30248
21.7,19.65983,,52.15373,,11.89666
21.8,22.88432,,18.44716,,40.26426
21.9,5.19943,,12.76313,,44.02501
22,29.37889,,43.23989,,31.0611
22.1,98.98813,,19.53253,,14.00959
22.2,55.0134,,6.40295,,18.38927
22.3,46.07724,,19.17932,,5.72219
22.4,84.63287,,64.77346,,5.02275
22.5,15.44481,,28.27296,,13.30483
22.6,11.8914,,9.62819,,44.16992
22.7,0,,22.43042,,43.44561
22.8,41.5092,,34.73755,,28.91515
22.9,142.51437,,12.37642,,12.31892
23,86.85401,,11.96367,,17.82317
23.1,41.31951,,33.2618,,6.42208
23.2,69.4718,,58.47204,,7.40268
23.3,16.26746,,22.73357,,20.94036
23.4,15.90172,,8.98569,,47.07187
23.5,1.25139,,45.0671,,42.43237
23.6,56.95006,,28.52847,,27.62958
23.7,91.21517,,9.65505,,13.16393
23.8,54.33682,,11.25206,,4.32376
23.9,80.61192,,65.46396,,3.20631
24,47.89369,,49.6058,,7.54284
24.1,11.80053,,19.41467,,24.49339
24.2,6.00982,,17.92305,,49.83578
24.3,1.16193,,53.72365,,42.57707
24.4,64.16221,,29.71775,,28.3436
24.5,91.41866,,8.79904,,12.60052
24.6,56.75616,,23.25085,,6.42208
24.7,74.82127,,91.89059,,4.46352
24.8,36.97085,,74.22729,,7.26254
24.9,20.76367,,29.52404,,28.91515
25,7.72381,,14.29621,,47.07187
25.1,4.21027,,47.29667,,37.38004
25.2,92.94663,,28.4965,,20.94036
25.3,81.71544,,7.02947,,3.06671
25.4,24.91889,,8.05581,,6.42208
25.5,70.65711,,51.8421,,3.62522
25.6,21.03991,,33.09529,,11.61525
25.7,24.36342,,9.41358,,38.24452
25.8,4.03058,,4.24002,,44.16992
25.9,20.67162,,35.89089,,35.94074
26,107.98932,,17.48823,,14.85591
26.1,61.42464,,7.6862,,3.06671
26.2,24.54853,,11.44318,,6.84223
26.3,77.3115,,45.47281,,3.90458
26.4,17.36585,,17.86497,,11.19326
26.5,25.01152,,3.20086,,40.11988
26.6,9.08001,,11.88132,,43.01125
26.7,27.51706,,26.78344,,29.77303
26.8,94.58004,,9.65505,,12.31892
26.9,35.27656,,7.55451,,21.65005
27,26.8666,,21.1363,,4.32376
27.1,55.69063,,72.61985,,9.36652
27.2,9.26104,,29.75007,,26.06037
27.3,10.98324,,8.47985,,47.36249
27.4,3.85093,,21.4359,,39.9755
27.5,40.27714,,39.77242,,24.77813
27.6,106.74116,,15.51045,,10.63086
27.7,77.3115,,10.19367,,6.70216
27.8,65.53497,,32.36547,,3.76489
27.9,57.5321,,59.95662,,10.91202
28,7.09184,,22.82468,,32.9243
28.1,43.40893,,6.84634,,45.76506
28.2,6.64079,,27.35157,,35.79692
28.3,68.387,,30.07373,,18.81404
28.4,93.86497,,7.92365,,4.04429
28.5,54.24022,,0,,8.38416
28.6,68.78128,,20.74805,,4.88292
28.7,25.66023,,38.16271,,10.49031
28.8,14.07593,,12.6525,,37.38004
28.9,14.4407,,0.80908,,41.27552
29,10.34824,,26.56327,,30.34532
29.1,113.94732,,23.55627,,15.13816
29.2,47.98942,,3.63043,,8.80507
29.3,28.35426,,2.79824,,4.88292
29.4,65.3387,,45.10392,,6.28207
29.5,15.81031,,45.87988,,12.60052
29.6,18.00739,,16.62384,,42.57707
29.7,3.22254,,5.21278,,46.49088
29.8,22.60735,,39.84291,,34.35967
29.9,107.46899,,27.54158,,18.10618
30,59.96243,,11.93621,,9.36652
